old_url,new_url,type,title,status_expected
"/חותמת-לעסק/","/stamps/business/","category landing","חותמת לעסק","301"
"/חותמת-אישית/","/stamps/personal/","category landing","חותמת אישית","301"
"/חותמת-רופא/","/stamps/doctors/","category landing","חותמת רופא","301"
"/חותמת-לעורך-דין/","/stamps/lawyers/","category landing","חותמת לעורך דין","301"
"/חותמת-עגולה/","/stamps/round/","category landing","חותמת עגולה","301"
"/חותמות-תאריך/","/stamps/date/","category landing","חותמות תאריך","301"
"/נומרטור-מספרון/","/stamps/numbering/","category landing","נומרטור - מספרון","301"
"/חותמות-חתימה-אישית/","/stamps/signature/","category landing","חותמות חתימה אישית","301"
"/חותמת-כיס/","/stamps/pocket/","category landing","חותמת כיס","301"
"/עט-חותמת-עט-חותמת-יוקרתי/","/stamps/pen/","category landing","עט חותמת - עט חותמת יוקרתי","301"
"/חותמות-לספרים/","/stamps/books/","category landing","חותמות לספרים","301"
"/חותמת-חתונה/","/stamps/wedding/","category landing","חותמת חתונה","301"
"/חותמת-מופ-חותמות-מחקר-ופיתוח/","/stamps/research/","category landing","חותמת מו""פ - חותמות מחקר ופיתוח","301"
"/חותמת-ערבות-אישית/","/stamps/guarantee/","category landing","חותמת ערבות אישית","301"
"/חותמת-qr-לפי-דרישה-בכל-גודל/","/stamps/qr/","category landing","חותמת QR לפי דרישה בכל גודל","301"
"/חותמות-לבד-עץ-מתכת/","/stamps/special-surfaces/","category landing","חותמות לבד עץ מתכת","301"
"/kids-stamp/","/stamps/kids/","category landing","חותמות לילדים","301"
"/diploma/","/stamps/diploma/","category landing","תעודות סיום על מתכת מודבקת על עץ","301"
"/product-category/חותמת-גומי-מלבנית/","/stamps/business/","woocommerce category","","301"
"/product-category/חותמות-מרובעות/","/stamps/logo/","woocommerce category","","301"
"/product-category/חותמות-עגולות/","/stamps/round/","woocommerce category","","301"
"/product-category/חותמות-גומי-מלבניות/","/stamps/business/","woocommerce category","","301"
"/product-category/חותמת-כיס/","/stamps/pocket/","woocommerce category","","301"
"/product-category/חותמת-תאריך-תאריכון/","/stamps/date/","woocommerce category","","301"
"/product-category/עט-חותמת/","/stamps/pen/","woocommerce category","","301"
"/product-category/חותמות-לספרים/","/stamps/books/","woocommerce category","","301"
"/product-category/חותמת-חתונה/","/stamps/wedding/","woocommerce category","","301"
"/product-category/חותמות-מחקר-ופיתוח/","/stamps/research/","woocommerce category","","301"
"/product-category/חותמת-ערבות-אישית/","/stamps/guarantee/","woocommerce category","","301"
"/product-category/חותמת-qr/","/stamps/qr/","woocommerce category","","301"
"/product-category/חותמות-לבד-עץ-ומתכת/","/stamps/special-surfaces/","woocommerce category","","301"
"/product-category/חותמות-נומרטור-מספרון/","/stamps/numbering/","woocommerce category","","301"
"/product-category/תעודות-סיום-על-מתכת-מודבקת-על-עץ/","/stamps/diploma/","woocommerce category","","301"
"/thank-you/","/","page","תודה","301"
"/thank-you-lead/","/contact/","page","תודה לפנייתך","301"
"/דוגמת-חותמת-עגולה-לעורך-דין/","/stamps/lawyers/","page","דוגמת חותמת עגולה לעורך דין","301"
"/product/חותמת-פרינט-30/","/stamp/חותמת-פרינט-30/","product","חותמת פרינט 30","301"
"/product/חותמת-פרינט-20/","/stamp/חותמת-פרינט-20/","product","חותמת פרינט 20","301"
"/product/חותמת-פרינט-40/","/stamp/חותמת-פרינט-40/","product","חותמת פרינט 40","301"
"/product/חותמת-פרינט-50/","/stamp/חותמת-פרינט-50/","product","חותמת פרינט 50","301"
"/product/חותמת-פרינט-60/","/stamp/חותמת-פרינט-60/","product","חותמת פרינט 60","301"
"/product/print-s-200/","/stamp/print-s-200/","product","PRINT S-200","301"
"/product/print-s-5030/","/stamp/print-s-5030/","product","PRINT S-5030","301"
"/product/print-s-5633/","/stamp/print-s-5633/","product","PRINT S-5633","301"
"/product/print-s-6040/","/stamp/print-s-6040/","product","PRINT S-6040","301"
"/product/print-q-510/","/stamp/print-q-510/","product","PRINT Q 510","301"
"/product/print-q-530/","/stamp/print-q-530/","product","PRINT Q 530","301"
"/product/print-q-540/","/stamp/print-q-540/","product","PRINT Q 540","301"
"/product/print-r-510/","/stamp/print-r-510/","product","PRINT R 510","301"
"/product/print-r-524/","/stamp/print-r-524/","product","PRINT R 524","301"
"/product/print-r-530/","/stamp/print-r-530/","product","PRINT R 530","301"
"/product/print-r-540/","/stamp/print-r-540/","product","PRINT R 540","301"
"/product/print-r-550/","/stamp/print-r-550/","product","PRINT R 550","301"
"/product/חותמת-אישית-דגם-סליידר/","/stamp/חותמת-אישית-דגם-סליידר/","product","חותמת אישית דגם סליידר","301"
"/product/dater-c-4124/","/stamp/dater-c-4124/","product","חותמת תאריך C-4124","301"
"/product/dater-c-4530/","/stamp/dater-c-4530/","product","חותמת תאריך C-4530","301"
"/product/dater-c-4050/","/stamp/dater-c-4050/","product","חותמת תאריך C-4050","301"
"/product/dater-c-4060/","/stamp/dater-c-4060/","product","חותמת תאריך C-4060","301"
"/product/dater-c-7538/","/stamp/dater-c-7538/","product","חותמת תאריך C-7538","301"
"/product/חותמת-עט-כסף-קלאסי/","/stamp/חותמת-עט-כסף-קלאסי/","product","חותמת עט כסף קלאסי","301"
"/product/חותמת-עט-מנומר-אדום/","/stamp/חותמת-עט-מנומר-אדום/","product","חותמת עט מנומר אדום","301"
